EMPIRE_BM_TECH_1	Black Market Items available at Empire tech level one.	На черном рынке доступны технологии Империи первого уровня.
TEXT_SFX_REB_ATTACK_EVIL_15	Hit 'em hard!	Задайте им!
TEXT_SFX_REB_ATTACK_EVIL_2	Load your weapons!	Оружие к бою!
TEXT_SFX_REB_ATTACK_EVIL_3	Advance!	Вперед!
TEXT_SFX_REB_ATTACK_EVIL_4	Attack!	Ура!
TEXT_SFX_REB_ATTACK_EVIL_5	Charge!	В атаку!
TEXT_SFX_REB_ATTACK_EVIL_6	Open fire!	Открыть огонь!
TEXT_SFX_REB_ATTACK_EVIL_7	Blasters ready	Бластеры к бою!
TEXT_SFX_REB_ATTACK_EVIL_8	Fire at will!	Беглый огонь!
TEXT_SFX_REB_ATTACK_EVIL_9	Get them!	Получите!
TEXT_SFX_REB_EMPEROR_1	Look! It's the Emperor himself!	Гляди-ка! Сам Император!
TEXT_SFX_REB_E_FCOM_1	Sir, I've spotted an Imperial Field Commander	Сэр, мы заметили имперского полевого командира.
TEXT_SFX_REB_FETT_1	It's that bounty hunter, Boba Fett! Take cover!	Это Боба Фетт, наемный убийца! Всем залечь!
TEXT_SFX_REB_GUARD_1	It's under our protection	Берем под защиту.
TEXT_SFX_REB_GUARD_2	Defending the area	Охраняем район.
TEXT_SFX_REB_GUARD_EVIL_1	Hold up here	Взвод, стой!
TEXT_SFX_REB_GUARD_EVIL_2	Providing defense	Охраняем.
TEXT_SFX_REB_KATARN_1	Kyle Katarn! Welcome sir.  We'll back you up where we can.	Кайл Катарн! Добро пожаловать, сэр. Поможем вам всем, чем можем.
TEXT_SFX_REB_MAULER_1	Take cover, it's a TIE mauler!	Это Тай-молот! Ложись!
TEXT_SFX_REB_MOVE_1	Can do	Справлюсь.
TEXT_SFX_REB_MOVE_10	Fall out troops	Движемся.
TEXT_SFX_REB_MOVE_11	Let's move out	Поехали!
TEXT_SFX_REB_MOVE_12	Lets go	Пошли!
TEXT_SFX_REB_MOVE_13	Keep going 	Продолжать движение.
TEXT_SFX_REB_MOVE_14	This way	Туда!
TEXT_SFX_REB_MOVE_15	Over there	Двигайтесь туда!
TEXT_SFX_REB_MOVE_2	Right	Так точно!
TEXT_SFX_REB_MOVE_3	Got it	Понял.
TEXT_SFX_REB_MOVE_4	Moving out	Выдвигаюсь.
TEXT_SFX_REB_MOVE_5	Heading out	Следую в намеченную точку.
TEXT_SFX_REB_MOVE_6	Yes, sir	Есть, сэр!
TEXT_SFX_REB_MOVE_7	Right away 	Вас понял!
TEXT_SFX_REB_MOVE_8	Moving ahead	Марш!
TEXT_SFX_REB_MOVE_9	Heading out, sir	Выдвигаемся, сэр!
TEXT_SFX_REB_MOVE_EVIL_1	We're on it	Выполняем.
TEXT_SFX_REB_MOVE_EVIL_10	Heading there now	Направляемся туда.
TEXT_SFX_REB_MOVE_EVIL_11	Over this way	Вон туда.
TEXT_SFX_REB_MOVE_EVIL_12	Quickly!	Быстро!
TEXT_SFX_REB_MOVE_EVIL_13	We've got our orders	Приказ принят, выполняем.
TEXT_SFX_REB_MOVE_EVIL_14	This direction	Подтверждаем направление.
TEXT_SFX_REB_MOVE_EVIL_15	Right Sir	Так точно, сэр.
TEXT_SFX_REB_MOVE_EVIL_2	Bring 'em on	Снимем их.
TEXT_SFX_REB_MOVE_EVIL_3	Lead on	Марш!
TEXT_SFX_REB_MOVE_EVIL_4	Acknowledged	Вас понял, выполняю.
TEXT_SFX_REB_MOVE_EVIL_5	Orders received	Выполняю приказ.
TEXT_SFX_REB_MOVE_EVIL_6	Keep after them	Идем за ними.
TEXT_SFX_REB_MOVE_EVIL_7	Lets keep moving	Марш-марш!
TEXT_SFX_REB_MOVE_EVIL_8	Lets go	Пошли!
TEXT_SFX_REB_MOVE_EVIL_9	Moving to coordinates	Выхожу в заданную точку.
TEXT_SFX_REB_OBIWAN_1	It's General Kenobi! The Empire is in for it now!	Генерал Кеноби! Ну, имперцы влипли!
TEXT_SFX_REB_R_FCOM_1	Sir, our Field Commander has landed.	Сэр, наш полевой командир приземлился.
TEXT_SFX_REB_SAND_1	We're having trouble moving in this sand sir	Мы вязнем в песке, сэр.
TEXT_SFX_REB_SEE_HERO_11	Tyber Zann?  I thought he was dead!	Тайбер Занн? Его разве не убили?
TEXT_SFX_REB_SEE_HERO_12	The bounty hunter IG88 is near - fall back!	Здесь наемный убийца IG88. Отступаем!
TEXT_SFX_REB_SEE_HERO_13	It's that mercenary, Urai Fen - don't get too close!	Здесь Ураи Фен - держитесь от него подальше!
TEXT_SFX_REB_SEE_HERO_14	There is a night sister with them - watch out!	С ними Ночные сестры. Будьте осторожны!
TEXT_SFX_REB_SEE_HERO_15	That's Thrawn's ship in their fleet!  	Мы засекли корабль Трауна!
TEXT_SFX_REB_SEE_HERO_16	We'll need all the help we can get against the Executor!	Мы засекли Палача, высылайте подкрепление!
TEXT_SFX_REB_SEE_HERO_17	Princess Leia has arrived!  Aid her in battle!	Прибыла принцесса Лея! Помогите ей в бою!
TEXT_SFX_REB_SEE_HERO_18	Men!  The legendary master Yoda has returned!	Ура! Магистр Йода вернулся!
TEXT_SFX_REB_SEE_HERO_19	Great to have you with us commander Skywalker!	Приветствую, коммандер Скайуокер!
TEXT_SFX_REB_SEE_HERO_20	We have the Gargantuan and General Iblis with us!	С нами генерал Иблис на Гаргантюа!
TEXT_SFX_REB_SELECT_1	Yes?	Да?
TEXT_SFX_REB_SELECT_10	Copy	Принято.
TEXT_SFX_REB_SELECT_11	I copy	Понял вас.
TEXT_SFX_REB_SELECT_12	Reporting	Готов.
TEXT_SFX_REB_SELECT_13	Yes sir	Есть, сэр!
TEXT_SFX_REB_SELECT_14	Yes commander	Есть, командир.
TEXT_SFX_REB_SELECT_15	Ready	Готов.
TEXT_SFX_REB_SELECT_2	I'm here sir.	Я здесь, сэр.
TEXT_SFX_REB_SELECT_3	Ready!	Готов!
TEXT_SFX_REB_SELECT_4	Affirmative	Так точно!
TEXT_SFX_REB_SELECT_5	Reporting in	Жду распоряжений.
TEXT_SFX_REB_SELECT_6	Ready to roll	Ожидаю приказов.
TEXT_SFX_REB_SELECT_7	Roger that	Вас понял.
TEXT_SFX_REB_SELECT_8	Form up	Жду приказаний.
TEXT_SFX_REB_SELECT_9	Awaiting orders	Слушаю вас!
TEXT_SFX_REB_SELECT_EVIL_1	Ready to go	Готовы к выходу.
TEXT_SFX_REB_SELECT_EVIL_10	We're ready Commander	Мы готовы, командир.
TEXT_SFX_REB_SELECT_EVIL_11	We're ready to fight, sir	К бою готовы, сэр
TEXT_SFX_REB_SELECT_EVIL_12	Yes Sir	Слушаюсь, сэр!
TEXT_SFX_REB_SELECT_EVIL_13	Here to serve 	Готовы к несению службы!
TEXT_SFX_REB_SELECT_EVIL_14	Where do you need us sir?	Где нужна помощь, сэр?
TEXT_SFX_REB_SELECT_EVIL_15	Get ready to deploy	Готовы к высадке.
TEXT_SFX_REB_SELECT_EVIL_2	Good to go sir	Выходим, сэр.
TEXT_SFX_REB_SELECT_EVIL_3	Ready for action	К бою готовы!
TEXT_SFX_REB_SELECT_EVIL_4	Where are we headed sir?	Куда идем, сэр?
TEXT_SFX_REB_SELECT_EVIL_5	Just give me a coordinate	Только скажите, куда.
TEXT_SFX_REB_SELECT_EVIL_6	Lets get 'em	Они у нас получат.
TEXT_SFX_REB_SELECT_EVIL_7	Standing by	Жду приказаний.
TEXT_SFX_REB_SELECT_EVIL_8	Where do you need me?	Где нужна помощь?
TEXT_SFX_REB_SELECT_EVIL_9	Locked and loaded	Оружие к бою!
TEXT_SFX_REB_SNOW_1	This snow is slowing us down	Мы вязнем в снегу.
TEXT_SFX_REB_SOLO_1	Captain Solo!  What can we do to help?	Капитан Соло! Чем можем помочь?
TEXT_SFX_REB_STORMTROOP_1	Stormtroopers! Attack!	Штурмовики! В атаку!
TEXT_SFX_REB_SWAMP_1	We're not making good time in all this mud	Как же грязно в этом болоте!
TEXT_SFX_REB_TAKE_COVER_1	Take Cover!	Ложись!
TEXT_SFX_REB_TAKE_COVER_2	Spread out, men!	Рассредоточиться!
TEXT_SFX_REB_TAKE_COVER_3	Avoiding Fire!	Всем залечь!
TEXT_SFX_REB_TAKE_COVER_4	Spreading out!	Рассредоточиться!
TEXT_SFX_REB_VADER_1	It's Darth Vader!  Fall back!	Это Дарт Вейдер! Назад!
TEXT_SFX_REB_VEERS_1	We've spotted a new AT-AT! It bears General Veers' personal insignia	Новый АТ-АТ! На нем личный знак генерала Вирса!
TEXT_SFX_RFC_ATTACK_1	The target is in my sights	Вижу цель.
TEXT_SFX_RFC_ATTACK_2	Executing orders	Выполняю приказ.
TEXT_SFX_RFC_ATTACK_3	An excellent target	Отличная цель!
TEXT_SFX_RFC_ATTACK_4	We've got them on our scopes	Они у нас в прицеле.
TEXT_SFX_RFC_ATTACK_5	Target acquired	Подтверждаю цель.
TEXT_SFX_RFC_ATTACK_6	Yes commander.	Есть, командир.
TEXT_SFX_RFC_GUARD_1	Fortifying position	Укрепляю позиции.
TEXT_SFX_RFC_GUARD_2	We'll defend this position	Будем удерживать эту позицию.
TEXT_SFX_RFC_INTERACT_1	Men! Prepare for assignment!	Внимание! Слушай мою команду!
TEXT_SFX_RFC_INTERACT_2	Move out!	Марш-марш!
TEXT_SFX_RFC_INTERACT_3	Get in formation now!	Стройся!
TEXT_SFX_RFC_INTERACT_4	This way men!	Туда, солдаты!
TEXT_SFX_RFC_INTERACT_5	Follow my lead.	За мной!
TEXT_SFX_RFC_INTERACT_6	Watch out for enemies.	Следите за врагом.
TEXT_SFX_RFC_INTERACT_7	All troops advance!	Всем войскам, вперед!
TEXT_SFX_RFC_INTERACT_8	Stay Alert!	Смотрите в оба!
TEXT_SFX_RFC_MOVE_1	Affirmative	Так точно!
TEXT_SFX_RFC_MOVE_2	Destination is Acknowledged	Подтверждаю координаты.
TEXT_SFX_RFC_MOVE_3	I am en route.	Намечаю маршрут.
TEXT_SFX_RFC_MOVE_4	En route	На подходе.
TEXT_SFX_RFC_MOVE_5	Order Acknowledged	Приказ получен, выполняю.
TEXT_SFX_RFC_MOVE_6	We're on our way	Ложусь на курс.
TEXT_SFX_RFC_SELECT_1	Awaiting your orders	Ожидаю приказаний.
TEXT_SFX_RFC_SELECT_2	Yes Commander?	Слушаю, командир.
TEXT_SFX_RFC_SELECT_3	I await your instructions	Ожидаю ваших инструкций.
TEXT_SFX_RFC_SELECT_4	Yes sir	Есть, сэр!
TEXT_SFX_RFC_SELECT_5	Your orders?	Ваши распоряжения?
TEXT_SFX_RFC_SELECT_6	Standing by	Жду приказаний.
TEXT_SFX_RFC_TAKE_COVER_1	Take Cover!	Ложись!
TEXT_SFX_RFC_TAKE_COVER_2	Spread out, men!	Рассредоточиться!
TEXT_SFX_RFC_TAKE_COVER_3	Avoiding Fire!	Всем залечь!
TEXT_SFX_RFC_TAKE_COVER_4	Spreading out!	Рассредоточиться!
TEXT_SFX_RHD_ABREGADO_RAE	Abregado-rae	Абредаго-Рей
TEXT_SFX_RHD_ABREGADO_RAE_DEATH_STAR	Abregado-rae has been destroyed by the Death Star	Абредаго-Рей уничтожен Звездой Смерти
TEXT_SFX_RHD_ACADEMY_DESTROYED_1	Officer Academy Destroyed	Военная академия уничтожена.
TEXT_SFX_RHD_ACADEMY_UNDER_ATTACK_1	The Officer Academy is under attack	Военная академия атакована.
TEXT_SFX_RHD_ADVANCED_VEHICLE_FACTORY_DESTROYED_1	Advanced Vehicle Factory destroyed	Завод супертехники уничтожен.
TEXT_SFX_RHD_ADVANCED_VEHICLE_FACTORY_UNDER_ATTACK_1	The Advanced Vehicle Factory is under attack	Завод супертехники атакован.
TEXT_SFX_RHD_AETEN_II	Aeten II	Эйтен II
TEXT_SFX_RHD_AETEN_II_DEATH_STAR	Aeten II has been destroyed by the Death Star	Эйтен II уничтожен Звездой Смерти
TEXT_SFX_RHD_ALDERAAN	Alderaan	Альдераан
TEXT_SFX_RHD_ALDERAAN_DEATH_STAR	Alderaan has been destroyed by the Death Star	Альдераан уничтожен Звездой Смерти
TEXT_SFX_RHD_ALZOC_III	Alzoc III	Альзок III
TEXT_SFX_RHD_ALZOC_III_DEATH_STAR	Alzoc III has been destroyed by the Death Star	Альзок III уничтожен Звездой Смерти
TEXT_SFX_RHD_ANAXES	Anaxes	Анаксис
TEXT_SFX_RHD_ANAXES_DEATH_STAR	Anaxes has been destroyed by the Death Star	Анаксис уничтожен Звездой Смерти
TEXT_SFX_RHD_ARENA_DESTROYED_1	Grand Arena destroyed	Большая арена уничтожена.
TEXT_SFX_RHD_ARENA_SOLD_1	The Grand Arena has been sold.	Бар продан.
TEXT_SFX_RHD_ARENA_UNDER_ATTACK_1	The grand area is under attack	Большая арена атакована.
TEXT_SFX_RHD_ARIDUS	Aridus	Аридус
TEXT_SFX_RHD_ARIDUS_DEATH_STAR	Aridus has been destroyed by the Death Star	Аридус уничтожен Звездой Смерти
TEXT_SFX_RHD_ASSIST_CANCELED_1	Assistance Canceled	Поддержка отменена.
TEXT_SFX_RHD_ASTEROID_MINING_1	Asteroid Mining Facility online   (build complete)	Космошахты построены.
TEXT_SFX_RHD_ASTEROID_MINING_DESTROYED_1	Asteroid Mining Facility destroyed	Космошахты уничтожены.
TEXT_SFX_RHD_ATAT_DESTROYED_1	AT-AT destroyed!	AT-AT уничтожен!
TEXT_SFX_RHD_ATZERRI	Atzerri	Атзерри
TEXT_SFX_RHD_ATZERRI_DEATH_STAR	Atzerri has been destroyed by the Death Star	Атзерри уничтожен Звездой Смерти
TEXT_SFX_RHD_BACTA_TANK_BUILD_1	Bacta Healing Station constructing	Лечебная бакта-станция строится.
TEXT_SFX_RHD_BACTA_TANK_SOLD_1	Bacta Healing Station has been sold	Лечебная бакта-станция продана.
TEXT_SFX_RHD_BAKURA	Bakura	Бакура
TEXT_SFX_RHD_BAKURA_DEATH_STAR	Bakura has been destroyed by the Death Star	Бакура уничтожена Звездой Смерти
TEXT_SFX_RHD_BALMORRA	Balmorra	Балморра
TEXT_SFX_RHD_BALMORRA_DEATH_STAR	Balmorra has been destroyed by the Death Star	Балморра уничтожена Звездой Смерти
TEXT_SFX_RHD_BARRACKS_DESTROYED_1	Barracks Destroyed	Казармы уничтожены.
TEXT_SFX_RHD_BARRACKS_DESTROYED_2	Barracks Destroyed	Казармы уничтожены.
TEXT_SFX_RHD_BARRACKS_ONLINE_1	Barracks online	Казармы работают.
TEXT_SFX_RHD_BARRACKS_UNDER_ATTACK_1	The Barracks are under attack	Казармы атакованы.
TEXT_SFX_RHD_BASE_SHIELDS_DOWN_1	Base shields down	Энергощит базы отключен.
TEXT_SFX_RHD_BASE_SHIELDS_UP_1	Base shields up	Щиты базы включены.
TEXT_SFX_RHD_BASE_SHIELD_OFFLINE_1	Our base shield is offline	Энергощит базы обесточен!
TEXT_SFX_RHD_BASE_SHIELD_PENETRATED_1	Our base shield has been penetrated	Наш энергощит пробит.
TEXT_SFX_RHD_BASE_SHIELD_UP_1	Base shields up!	Щиты базы включены!
TEXT_SFX_RHD_BASE_STRUCTURE_DESTROYED_1	Base structure destroyed!	Здание базы уничтожено!
TEXT_SFX_RHD_BASE_STRUC_DESTROYED_1	Base structure destroyed!	Здание базы уничтожено!
TEXT_SFX_RHD_BASE_UNDER_ATTACK_1	Our base is under attack	Наша база атакована.
TEXT_SFX_RHD_BASE_UNDER_ATTACK_2	Base is under attack	База атакована.
TEXT_SFX_RHD_BAS_UNDER_ATTACK_1	Base under attack	База атакована.
TEXT_SFX_RHD_BATTLE_END_1	Battle Completed	Бой окончен.
TEXT_SFX_RHD_BATTLE_END_2	Victory!	Победа!
TEXT_SFX_RHD_BATTLE_END_3	We are victorious	Мы победили!
TEXT_SFX_RHD_BATTLE_END_4	The Empire has been defeated	Имперцы разгромлены!
TEXT_SFX_RHD_BATTLE_END_5	The enemy has been defeated	Враг побежден!
TEXT_SFX_RHD_BATTLE_PENDING_1	Tactical Battle Imminent	Неизбежно сражение.
TEXT_SFX_RHD_BESPIN	Bespin	Беспин
TEXT_SFX_RHD_BESPIN_DEATH_STAR	Bespin has been destroyed by the Death Star	Беспин уничтожен Звездой Смерти
TEXT_SFX_RHD_BESTINE	Bestine	Бестина
TEXT_SFX_RHD_BESTINE_DEATH_STAR	Bestine has been destroyed by the Death Star	Бестина уничтожена Звездой Смерти
TEXT_SFX_RHD_BLOCKADED_1	Construction impossible.  Enemy ships in orbit 	Строительство невозможно.  На орбите вражеские корабли.
TEXT_SFX_RHD_BLOCKADED_2	Cannot build.  System blockaded.	Строительство невозможно. Система в блокаде.
TEXT_SFX_RHD_BLOCKADED_3	Cannot comply.  The planet is blockaded.	Выполнение невозможно. Планета в блокаде.
TEXT_SFX_RHD_BOMBARDMENT_1	Bombardment Available	Возможность бомбардировки
TEXT_SFX_RHD_BOMBARDMENT_2	Allied Bombardment Available	Доступна бомбардировка со стороны союзников
TEXT_SFX_RHD_BOMBARDMENT_3	Enemy Bombardment is Ready	Противник готов провести бомбардировку
TEXT_SFX_RHD_BOMBARDMENT_4	Bombardment Canceled	Бомбардировка отменена
TEXT_SFX_RHD_BOMBARDMENT_5	Select Target	Выберите цель
TEXT_SFX_RHD_BOMBARDMENT_6	Bombardment Incoming	Бомбардировка начинается
TEXT_SFX_RHD_BOMBARDMENT_7	Bombardment Commencing	Бомбардировка начинается
TEXT_SFX_RHD_BOMBARDMENT_8	Bombardment Ready	Все готово к бомбардировке
TEXT_SFX_RHD_BOMBERS_DESTROYED_1	All available bombers in fleet have been destroyed	Все бомбардировщики уничтожены.
TEXT_SFX_RHD_BOMBERS_INCOMING_1	Target acquired	Подтверждаю цель.
TEXT_SFX_RHD_BOMBERS_INCOMING_2	Bombers incoming	Бомбардировщики вылетели.
TEXT_SFX_RHD_BOMBING_RUN_AVAILABLE_1	Bombing Run Available	Бомбардировка доступна.
TEXT_SFX_RHD_BOMBING_RUN_CANCELED_1	Bombing Run canceled	Бомбардировка отменена.
TEXT_SFX_RHD_BOMBING_TARGET_1	Select Target	Выберите цель
TEXT_SFX_RHD_BOMBING_TARGET_2	Select bombing target	Выберите цель для бомбежки.
TEXT_SFX_RHD_BONADAN	Bonadan	Бонадан
TEXT_SFX_RHD_BONADAN_DEATH_STAR	Bonadan has been destroyed by the Death Star	Бонадан уничтожен Звездой Смерти
TEXT_SFX_RHD_BOTHAWUI	Bothawui	Ботавуи
TEXT_SFX_RHD_BOTHAWUI_DEATH_STAR	Bothawui has been destroyed by the Death Star	Ботавуи уничтожена Звездой Смерти
TEXT_SFX_RHD_BOUNTY_HUNTER_DEPLOYED_1	Bounty Hunter Deployed	Высадился наемный убийца.
TEXT_SFX_RHD_BOUNTY_HUNTER_DEPLOYED_2	Bounty Hunter Deployed for Capture	Наемный убийца высадился для захвата.
TEXT_SFX_RHD_BOUNTY_HUNTER_DEPLOYED_3	Bounty Hunter Deployed for Economic Sabotage	Наемный убийца прибыл на политическое задание.
TEXT_SFX_RHD_BOUNTY_HUNTER_ELIMINATED_1	Bounty Hunter eliminated	Наемный убийца уничтожен.
TEXT_SFX_RHD_BOUNTY_HUNTER_LOST_1	Bounty Hunter lost	Наемный убийца погиб.
TEXT_SFX_RHD_BRENTAAL	Brentaal	Брентаал
TEXT_SFX_RHD_BRENTAAL_DEATH_STAR	Brentaal has been destroyed by the Death Star	Брентаал уничтожен Звездой Смерти
TEXT_SFX_RHD_BUILDING_1	Building	Строительство.
TEXT_SFX_RHD_BUILDING_CANCELED_1	Building Canceled	Строительство здания отменено.
TEXT_SFX_RHD_BUILD_BOUNTY_HUNTER_1	Hiring Bounty Hunter	Наем наемного убийцы
TEXT_SFX_RHD_BUILD_HERO_1	Hiring	Наем
TEXT_SFX_RHD_BUILD_PAD_CAPTURED_1	We’ve secured a build pad	Мы заняли строительную платформу.
TEXT_SFX_RHD_BUILD_PAD_LOST_1	We’ve lost a build pad	Мы захватили зону высадки.
TEXT_SFX_RHD_BUILD_SMUGGLER_1	Hiring smuggler	Наем контрабандиста
TEXT_SFX_RHD_BUILD_STRUCTURE_1	Constructing	Идет набор.
TEXT_SFX_RHD_BUILD_STRUCTURE_2	Building under construction	Здание начато
TEXT_SFX_RHD_BUILD_STRUCTURE_3	Building started	Производство начато
TEXT_SFX_RHD_BUILD_STRUCTURE_4	Beginning construction	Строительство начато
TEXT_SFX_RHD_BUILD_TROOPS_1	Recruiting	Идет обучение.
TEXT_SFX_RHD_BUILD_TROOPS_2	Training	Идет вербовка.
TEXT_SFX_RHD_BUILD_TROOPS_3	Enlisting	Строительство отряда
TEXT_SFX_RHD_BUILD_TROOPS_4	Recruiting troops	Обучение отрядов
TEXT_SFX_RHD_BUILD_TROOPS_5	Training troops	Вербовка отрядов
TEXT_SFX_RHD_BUILD_TROOPS_6	Enlisting troops	Набор солдат
TEXT_SFX_RHD_BUILD_TROOPS_7	Recruiting soldiers	Обучение солдат
TEXT_SFX_RHD_BUILD_TROOPS_8	Training soldiers	Вербовка солдат
TEXT_SFX_RHD_BUILD_TROOPS_9	Enlisting soldiers	Отряд в процессе производства
TEXT_SFX_RHD_BUILD_VEHICLE_1	Constructing Unit	Набор отрядов
TEXT_SFX_RHD_BUILD_VEHICLE_2	Unit in production	Техника в процессе производства
TEXT_SFX_RHD_BUILD_VEHICLE_3	Vehicle in production	Здание строится
TEXT_SFX_RHD_BYSS	Byss	Бисс
TEXT_SFX_RHD_BYSS_DEATH_STAR	Byss has been destroyed by the Death Star	Бисс уничтожен Звездой Смерти
TEXT_SFX_RHD_CAGE_1	Ysalamiri Cage Constructing	Строится клетка с йсаламири.
TEXT_SFX_RHD_CAGE_2	Ysalamiri Cage has been sold	Клетка с йсаламири продана.
TEXT_SFX_RHD_CANCELED_1	Canceled	Отмена.
TEXT_SFX_RHD_CANTINA_ACCESS_1	Cantina access available 	Бар открыт для доступа.
TEXT_SFX_RHD_CANTINA_DESTROYED_1	Cantina destroyed	Бар уничтожен.
TEXT_SFX_RHD_CANTINA_DESTROYED_2	Cantina destroyed       	Бар уничтожен.
TEXT_SFX_RHD_CANTINA_LOST_1	Cantina lost     	Бар уничтожен.
TEXT_SFX_RHD_CANTINA_ONLINE_1	Cantina online             	Бар функционирует.
TEXT_SFX_RHD_CANTINA_SELECTED_1	Cantina selected                	Бар выбран.
TEXT_SFX_RHD_CANTINA_SOLD_1	The Cantina has been sold.	Планетарный щит отключен!
TEXT_SFX_RHD_CANTINA_UNDER_ATTACK_1	The cantina is under attack	Бар атакован.
TEXT_SFX_RHD_CAPACITY_1	We are at capacity.  Unable to build more. 	Достигнут предел строительства.
TEXT_SFX_RHD_CAPACITY_2	Capacity reached. Unable to build 	Достигнут предел. Строительство невозможно.
TEXT_SFX_RHD_CAPACITY_3	At maximum unit capacity. Training halted 	Достигнут предел численности. Обучение остановлено.
TEXT_SFX_RHD_CAPACITY_4	At maximum unit capacity.	Достигнут предел численности.
TEXT_SFX_RHD_CAPACITY_5	At maximum capacity.  Construction halted. 	Достигнут предел. Строительство остановлено.
TEXT_SFX_RHD_CAPTURE_HEAVY_VEHICLE_1	We've captured an abandoned Heavy Vehicle factory	Мы захватили заброшенный завод тяжелой техники.
TEXT_SFX_RHD_CAPTURE_HEAVY_VEHICLE_2	We've secured an abandoned Heavy Vehicle factory	Мы заняли заброшенный завод тяжелой техники.
TEXT_SFX_RHD_CAPTURE_MERCENARIES_1	We've captured a mercenary outfitter	Мы захватили контору найма.
TEXT_SFX_RHD_CAPTURE_MERCENARIES_2	We've secured relations with the mercenaries	Мы обеспечили связь с наемниками.
TEXT_SFX_RHD_CAPTURE_MERCENARIES_3	We've recruited some mercenaries	Мы завербовали несколько наемников.
TEXT_SFX_RHD_CAPTURE_MERCENARIES_4	We've got some mercenaries to help	К нам нанялись несколько наемников.
TEXT_SFX_RHD_CAPTURE_MERCENARIES_5	We've received help from the mercenaries	Мы получили помощь от наемников.
TEXT_SFX_RHD_CAPTURE_MINING_1	We've captured an abandoned Mining facility	Мы захватили заброшенный горнодобывающий завод.
TEXT_SFX_RHD_CAPTURE_MINING_2	We've secured an abandoned Mining facility	Мы заняли заброшенный горнодобывающий завод.
TEXT_SFX_RHD_CAPTURE_SENSOR_1	We've captured an abandoned Sensor Array	Мы захватили заброшенную антенную решетку.
TEXT_SFX_RHD_CAPTURE_SENSOR_2	We've secured an abandoned Sensor Array	Мы заняли заброшенную антенную решетку.
TEXT_SFX_RHD_CAPTURE_TURBO_1	We've captured an abandoned Turbo Laser Tower	Мы захватили заброшенную турболазерную башню.
TEXT_SFX_RHD_CAPTURE_TURBO_2	We've secured an abandoned Turbo Laser Tower	Мы заняли заброшенную турболазерную башню.
TEXT_SFX_RHD_CARIDA	Carida	Карида
TEXT_SFX_RHD_CARIDA_DEATH_STAR	Carida has been destroyed by the Death Star	Карида уничтожена Звездой Смерти
TEXT_SFX_RHD_CHOOSE_LANDING	Choose your landing zone	Выберите место приземления
TEXT_SFX_RHD_CHOOSE_REINFORCEMENTS	Choose your reinforcements	Выберите подкрепление
TEXT_SFX_RHD_COMMAND_CENTER_DESTROYED_1	Command Center destroyed	Командный центр уничтожен.
TEXT_SFX_RHD_COMMAND_CENTER_UNDER_ATTACK_1	The Command Center is under attack	Командный центр атакован.
TEXT_SFX_RHD_COMM_ARRAY_DESTROYED_1	Communications Array destroyed	Антенная решетка уничтожена.
TEXT_SFX_RHD_COMM_ARRAY_DESTROYED_2	Communications Array Destroyed	Антенная решетка уничтожена.
TEXT_SFX_RHD_COMM_ARRAY_ONLINE_1	Communications Array online	Антенная решетка работает.
TEXT_SFX_RHD_COMM_ARRAY_UNDER_ATTACK_1	The Communications Array is under attack	Антенная решетка атакована.
TEXT_SFX_RHD_COMM_CENTER_DESTROYED_1	Command Center destroyed	Командный центр уничтожен.
TEXT_SFX_RHD_COMM_CENTER_ONLINE_1	Command Center online	Командный центр работает.
TEXT_SFX_RHD_COMM_UPGRADE_1	Command Center Tech Upgrade Complete	Техническое улучшение командного центра завершено.
TEXT_SFX_RHD_COMM_UPGRADE_2	Command Center Technology Upgrade Complete	Технологическое улучшение командного центра завершено.
TEXT_SFX_RHD_COMM_UPGRADE_3	Command Center Upgrade Complete	Улучшение командного центра завершено.
TEXT_SFX_RHD_CONSTRUCTING_1	Constructing	Строительство
TEXT_SFX_RHD_CONSTRUCTION_COMPLETE_1	Construction Complete	Строительство завершено.
TEXT_SFX_RHD_CONTROL_CONTESTED_1	Reinforcement point contested	Состязание за точку высадки подкрепления.
TEXT_SFX_RHD_CONTROL_POINT_10_MIN	Control Point Victory in 10 minutes	Победа по стратегическим точкам через 10 минут.
TEXT_SFX_RHD_CONTROL_POINT_15_SEC	Control Point Victory in 15 seconds	Победа по стратегическим точкам через 15 секунд.
TEXT_SFX_RHD_CONTROL_POINT_1_MIN	Control Point Victory in 1 minute	Победа по стратегическим точкам через 1 минуту.
TEXT_SFX_RHD_CONTROL_POINT_2_MIN	Control Point Victory in 2 minutes	Победа по стратегическим точкам через 2 минуты.
TEXT_SFX_RHD_CONTROL_POINT_30_SEC	Control Point Victory in 30 seconds	Победа по стратегическим точкам через 30 секунд.
TEXT_SFX_RHD_CONTROL_POINT_3_MIN	Control Point Victory in 3 minutes	Победа по стратегическим точкам через 3 минуты.
TEXT_SFX_RHD_CONTROL_POINT_4_MIN	Control Point Victory in 4 minutes	Победа по стратегическим точкам через 4 минуты.
TEXT_SFX_RHD_CONTROL_POINT_5_MIN	Control Point Victory in 5 minutes	Победа по стратегическим точкам через 5 минут.
TEXT_SFX_RHD_CONTROL_POINT_5_SEC	Control Point Victory in 5 seconds	Победа по стратегическим точкам через 5 секунд.
TEXT_SFX_RHD_CONTROL_POINT_6_MIN	Control Point Victory in 6 minutes	Победа по стратегическим точкам через 6 минут.
